timestamp,cpu_util_experiment-baseline-with-latency-3-node-instance-2,io_read_experiment-baseline-with-latency-3-node-instance-2,io_write_experiment-baseline-with-latency-3-node-instance-2,iops_read_experiment-baseline-with-latency-3-node-instance-2,iops_write_experiment-baseline-with-latency-3-node-instance-2,cpu_util_experiment-baseline-with-latency-3-node-instance-3,io_read_experiment-baseline-with-latency-3-node-instance-3,io_write_experiment-baseline-with-latency-3-node-instance-3,iops_read_experiment-baseline-with-latency-3-node-instance-3,iops_write_experiment-baseline-with-latency-3-node-instance-3,cpu_util_experiment-baseline-with-latency-3-node-instance-1,io_read_experiment-baseline-with-latency-3-node-instance-1,io_write_experiment-baseline-with-latency-3-node-instance-1,iops_read_experiment-baseline-with-latency-3-node-instance-1,iops_write_experiment-baseline-with-latency-3-node-instance-1,cpu_util_experiment-baseline-with-latency-3-client-instance,io_read_experiment-baseline-with-latency-3-client-instance,io_write_experiment-baseline-with-latency-3-client-instance,iops_read_experiment-baseline-with-latency-3-client-instance,iops_write_experiment-baseline-with-latency-3-client-instance,cpu_util_experiment-baseline-with-latency-3-central-server,io_read_experiment-baseline-with-latency-3-central-server,io_write_experiment-baseline-with-latency-3-central-server,iops_read_experiment-baseline-with-latency-3-central-server,iops_write_experiment-baseline-with-latency-3-central-server
2021-09-19 17:00:00,0.012964939771274922,0,1242755,0,160,0.008510158776795625,0,1210063,0,152,0.010541957694867677,0,1378466,0,190,0.0013425347483850677,0,0,0,0,0.006900617313801168,0,616460,0,51
2021-09-19 16:59:00,0.012796761042842301,0,1224470,0,152,0.008607596658121016,0,1260337,0,157,0.01157292193177426,0,990100,0,107,0.0013454066194896086,0,0,0,0,0.006906662460318576,0,571718,0,43
2021-09-19 16:58:00,0.012546518322345435,0,1426369,0,195,0.008473788856545164,0,1334507,0,168,0.01090193359908606,0,1298049,0,164,0.0012973061312299213,0,0,0,0,0.006879030321187448,0,562944,0,43
2021-09-19 16:57:00,0.012275023431153897,0,1047264,0,107,0.008646008034167589,0,1199827,0,152,0.011299372508684275,0,1215937,0,151,0.0014635790084554401,0,16975,0,3,0.006841752580436377,0,583785,0,48
2021-09-19 16:56:00,0.011407226373626619,0,1265321,0,161,0.00855520218201633,0,1195264,0,148,0.0115590950315962,0,1233844,0,157,0.0013841642145682915,0,15793,0,3,0.0068751425116370035,0,563246,0,44
2021-09-19 16:55:00,0.012230025761934845,0,1317854,0,167,0.008522490652012493,0,1296808,0,182,0.011721368560642513,0,1089998,0,119,0.0013838676278079257,0,0,0,0,0.006965640256333927,0,565186,0,42
2021-09-19 16:54:00,0.012839546284625195,0,1281808,0,162,0.008836561977504686,0,1583351,0,215,0.011057581132666883,0,1271623,0,160,0.001206167926334937,0,0,0,0,0.006916980708065997,0,581573,0,45
2021-09-19 16:53:00,0.01357593795330511,0,1053826,0,109,0.00891527147199677,288,1432664,0,182,0.011592136882637286,0,1477747,0,195,0.0013853479510307428,0,74267,0,10,0.006937132702185048,0,581694,0,45
2021-09-19 16:52:00,0.013550595185492871,10485,1989222,0,244,0.013889719624871096,13526,1754722,2,224,0.011322158507060465,32454,1474798,1,178,0.0050365191643303815,82755,958175,4,146,0.018012328376183006,79282,1191431,3,124
2021-09-19 16:51:00,0.032928955135724414,149259,1774948,7,218,0.02362515311066223,154122,2001075,7,250,0.02687353830630504,127290,2211180,6,269,0.01661890727323225,76989,1149668,3,181,0.012098476969468664,80462,1222993,4,128
2021-09-19 16:50:00,0.014570805239492775,0,1506471,0,193,0.012057911327153666,0,1388403,0,170,0.013782000047484644,0,1515355,0,196,0.0022039191130109733,0,399793,0,62,0.007057504136953696,0,608329,0,47
2021-09-19 16:49:00,0.014132536730638396,0,1539219,0,210,0.008764761290802881,0,1385459,0,166,0.01227816476794743,0,1128221,0,119,0.004102831085000484,0,366505,0,58,0.006922956799299603,0,606145,0,48
2021-09-19 16:48:00,0.013524838838761847,0,1341455,0,154,0.008633430926072095,0,1407219,0,167,0.011789627996669102,0,1370423,0,162,0.00903141899856621,0,280126,0,43,0.006970188582362861,0,624569,0,52
2021-09-19 16:47:00,0.01460307114293234,0,1204370,0,128,0.008906634650689207,0,1263029,0,144,0.0121601836235385,0,1340937,0,162,0.02524178691678666,0,1239504,0,110,0.007039757605774355,0,937774,0,91
2021-09-19 16:46:00,0.013856893504739768,0,1369227,0,170,0.01937663801682182,0,1746775,0,209,0.012143443230957491,0,1393026,0,176,0.116340634948448,0,1895064,0,122,0.1282841847866943,0,6648420,0,324
2021-09-19 16:45:00,0.028292693425355727,0,1979397,0,248,0.01161379784002321,0,1565650,0,209,0.022670380637504668,74894,1656569,7,212,0.06696789269124584,0,1045943,0,73,0.062298538605190856,0,6403857,0,287
2021-09-19 16:44:00,0.014225789589594721,0,1315062,0,162,0.008695920341499649,0,1365471,0,171,0.016319885822390745,293746,1473534,29,174,0.002101658936039049,0,413763,0,62,0.007006175340372541,0,581700,0,48
2021-09-19 16:43:00,0.01309065591741311,0,1582844,0,206,0.008906572926276606,0,1287267,0,155,0.01254392493368736,0,1376373,0,170,0.0038422491751447297,0,383334,0,57,0.006938483129035926,0,569372,0,44
2021-09-19 16:42:00,0.01330706005896379,0,1225958,0,131,0.008844457500795972,12976,1111092,1,116,0.012127729581265593,0,1245901,0,147,0.008271448219709043,0,274848,0,42,0.007029901132047674,22362,628266,0,51
2021-09-19 16:41:00,0.013052563284287543,0,1606233,0,216,0.011747314620843477,355664,1600312,35,202,0.012223110390333147,0,1471179,0,181,0.03882447491527993,0,1544265,0,103,0.007156101841196498,22694,1196373,1,92
2021-09-19 16:40:00,0.02155445074172443,0,1763333,0,213,0.017775404046693193,0,1883044,0,239,0.02131882742448662,0,1600754,0,209,0.15932602376233926,0,2023257,0,152,0.07122918028577108,0,4179981,0,230
2021-09-19 16:39:00,0.011958428177687589,0,1380928,0,170,0.010968082004876104,0,1290080,0,156,0.013564204577549787,0,1404101,0,169,0.0017688249240047564,0,652634,0,65,0.036352568023820926,0,3653716,0,192
2021-09-19 16:38:00,0.011837229268628846,0,1333921,0,163,0.008739303559781319,0,1288468,0,150,0.011938011583145662,0,1379194,0,164,0.002465991409459889,0,192365,0,24,0.007014623808469385,0,593767,0,49
2021-09-19 16:37:00,0.012430917052477734,0,1354941,0,158,0.008840073175777263,0,1349646,0,166,0.012734261826610312,0,1276864,0,153,0.003784579479268283,0,368779,0,58,0.007045714803289135,0,596103,0,48
2021-09-19 16:36:00,0.011437516676699507,0,1134208,0,120,0.008807608039407454,0,1291456,0,160,0.01204382635687485,0,1257401,0,141,0.007985561335429736,0,277703,0,47,0.007178090568603323,0,601931,0,45
2021-09-19 16:35:00,0.011042536126694813,0,1503398,0,193,0.008953500334423835,0,1226116,0,140,0.012527146763331132,0,1515742,0,190,0.03963031185923521,0,1815013,0,108,0.008946178227339866,0,2547744,0,169
2021-09-19 16:34:00,0.02008935255258469,0,1818634,0,222,0.016449136941602185,0,1592599,0,190,0.021326583796576416,0,1625432,0,202,0.16339732457914996,0,1979741,0,144,0.04370291310634353,0,2791844,0,184
2021-09-19 16:33:00,0.011607783615304375,0,1298397,0,156,0.010793736980256104,0,1338781,0,161,0.013216619968984844,0,1111069,0,111,0.002268839611953884,0,375365,0,58,0.023498497716655936,0,849448,0,61
2021-09-19 16:32:00,0.010542535247960907,0,1358179,0,161,0.008866908651085244,0,1103362,0,119,0.012477948625397061,0,1359667,0,165,0.003965385079797083,0,365123,0,54,0.0071104192641864,0,616577,0,49
2021-09-19 16:31:00,0.010816917851506958,0,1394248,0,173,0.008722338656266022,0,1265545,0,153,0.012773999619434543,0,1356486,0,161,0.009196743155841602,0,294385,0,43,0.007273150455295033,0,591914,0,43
2021-09-19 16:30:00,0.011676048233688145,0,1437116,0,172,0.008358377726997428,0,1496663,0,202,0.011893344408089016,0,1526833,0,186,0.008198013712826935,0,1262414,0,88,0.007272259499551836,0,823591,0,76
2021-09-19 16:29:00,0.012005185447877409,0,1695057,0,205,0.0148788494304668,0,1751943,0,210,0.01267722396508996,0,1499282,0,177,0.05978149340894798,0,1562858,0,100,0.018157014628656515,0,1544753,0,132
2021-09-19 16:28:00,0.019065245376549928,0,1318352,0,156,0.010264503624823363,0,1382293,0,170,0.019298945836097422,0,1511090,0,181,0.13131998046649282,0,747647,0,74,0.012127776365902085,0,1324131,0,101
2021-09-19 16:27:00,0.01324771010182341,0,1092039,0,108,0.008912828743927055,0,1324877,0,154,0.013690134261488632,0,1397061,0,161,0.0025544128223401684,0,411992,0,63,0.0070412850002144955,0,626532,0,50
2021-09-19 16:26:00,0.013598894236147884,0,1312186,0,159,0.008811689629926414,0,1364165,0,162,0.012360732365708315,0,1331326,0,159,0.0039283175289028804,0,342668,0,51,0.00706641897308368,0,801668,0,76
2021-09-19 16:25:00,0.013681189825974134,0,1455650,0,192,0.00886028011702867,0,1041541,0,108,0.01241944352270726,0,1519619,0,183,0.009092255032888848,0,259055,0,41,0.009569412546582612,182961,864956,18,76
2021-09-19 16:24:00,0.013077700352470363,0,1555627,0,206,0.008619415189267461,0,1318917,0,156,0.011792164965916167,0,1382269,0,167,0.07480489704901079,0,1856202,0,100,0.008283029751635715,185679,1499844,18,97
2021-09-19 16:23:00,0.020309679671631404,0,1804618,0,211,0.01942131092801939,0,1861463,0,204,0.012249790424654823,0,1600575,0,203,0.3169959858365824,0,1882694,0,103,0.12689757208571517,0,7046147,0,328
2021-09-19 16:22:00,0.021988534542678906,0,1368947,0,158,0.011152129080444221,0,1349234,0,153,0.022988462499603676,0,1339968,0,149,0.0017081424836225285,0,483171,0,64,0.06244076385853082,0,6310771,0,283
2021-09-19 16:21:00,0.015152859179572431,0,1334037,0,162,0.00888923746629852,0,1287072,0,157,0.014105159447523382,0,1310401,0,152,0.0022662422275890512,0,399054,0,61,0.007079390874555476,0,628634,0,51
2021-09-19 16:20:00,0.014572244486336199,0,1483660,0,184,0.00886821680515671,0,1423567,0,180,0.011466998740237482,0,1353651,0,157,0.0039190533376687615,0,352386,0,53,0.007019150179537093,0,592247,0,47
2021-09-19 16:19:00,0.015114844579726613,538,1372020,0,163,0.008966333193644023,288,1371719,0,162,0.012495274316209759,0,1135510,0,114,0.00883658149049893,0,392884,0,69,0.007003484442775231,0,672808,0,64
2021-09-19 16:18:00,0.014510462588399282,7654,1286194,2,141,0.008861425305484734,7904,1377903,2,169,0.012563937676211386,1664,1615299,0,198,0.05805149061547373,4244,1793699,1,116,0.007505934802216055,4066,1500115,1,123
2021-09-19 16:17:00,0.028737865520245976,0,1727537,0,201,0.017358329961061257,0,1851809,0,213,0.021140715649689903,6528,1677746,2,202,0.24643846393120583,3948,1878868,1,133,0.07074891381297116,4126,4169379,1,233
2021-09-19 16:16:00,0.01609957491523062,0,1362086,0,160,0.011096367913329649,0,1304426,0,156,0.013680610802354446,0,1334672,0,154,0.0017446591559677907,0,377839,0,56,0.036600596602957815,0,3371371,0,178
2021-09-19 16:15:00,0.016693895058788637,0,1332325,0,155,0.00908960811671733,0,1354024,0,171,0.011831404425633707,0,1514355,0,182,0.002713401488158714,0,360232,0,52,0.007122025565556811,0,560970,0,47
2021-09-19 16:14:00,0.016599249140173338,0,1307994,0,155,0.008798125724347017,0,1308499,0,156,0.011623051842915308,0,1263872,0,149,0.003895081379678326,0,320941,0,46,0.007059839224741419,0,526778,0,41
2021-09-19 16:13:00,0.016146082194694125,0,1539622,0,198,0.008892939249385279,0,1355252,0,161,0.011732429732616841,0,1413624,0,162,0.008816568851587903,0,64796,0,9,0.0069615436809771815,0,570620,0,49
2021-09-19 16:12:00,0.01636752245263485,0,1269851,0,134,0.008928262761520027,0,1242653,0,119,0.011521534094417519,0,1425168,0,166,0.05117746225136983,190967,1691621,19,104,0.009417874670131946,0,2735090,0,174
2021-09-19 16:11:00,0.028970615715224805,0,1662947,0,191,0.016259541850846895,0,1611924,0,211,0.019864820411274308,0,1681142,0,192,0.2182025099656381,198892,1829488,18,136,0.04327145174735894,0,2739408,0,171
2021-09-19 16:10:00,0.015678596395664594,0,1435428,0,180,0.010826445718322001,0,1332987,0,162,0.013168646741569034,0,1322496,0,154,0.0023024318048411392,19741,324538,0,50,0.02352923345377628,0,575842,0,47
2021-09-19 16:09:00,0.013581471803219832,0,1506179,0,193,0.009009947768559812,0,1263569,0,155,0.01135152479649785,0,1389197,0,161,0.003881512314495457,0,345383,0,54,0.007022405090792223,0,577171,0,47
2021-09-19 16:08:00,0.013077456460253245,0,1312125,0,152,0.008751387193961572,0,1098684,0,106,0.011236263045169892,0,1312679,0,157,0.008509589590477873,0,307118,0,45,0.007079793690190665,0,594164,0,51
2021-09-19 16:07:00,0.013130719215960577,0,1300472,0,154,0.009039174551555125,5188,1255996,0,151,0.011565948682369745,8321,1253522,0,136,0.011688007820595439,0,803214,0,93,0.007198709579760987,0,575382,0,44
2021-09-19 16:06:00,0.01320117825363288,9680,1672374,0,208,0.015068916395225547,142268,1765293,5,214,0.011534575070413666,62597,1544145,2,176,0.07630079380455565,241894,1754793,2,167,0.01840029897917243,138234,1455815,3,122
2021-09-19 16:05:00,0.020914019449160055,161972,1565859,7,192,0.010483400648283236,0,1423506,0,184,0.019680210623800085,117498,1650160,4,203,0.1348741727773221,225050,1242720,2,117,0.012397690676120968,140294,1430103,3,121
2021-09-19 16:04:00,0.015758634470680495,344444,1458050,34,169,0.00886761090024398,0,1371317,0,167,0.012804091131924149,0,1322366,0,151,0.0023336280444776016,0,337711,0,48,0.007156133947638921,0,534363,0,43
2021-09-19 16:03:00,0.013329440416282522,0,1342885,0,162,0.008880981612196118,0,1345837,0,158,0.012328598510854268,0,1315636,0,147,0.0037499952284662185,76387,371632,3,52,0.007144140514187806,0,538757,0,44
2021-09-19 16:02:00,0.013114216746450798,0,1446414,0,166,0.0089990658521747,0,1288382,0,152,0.012212456187684968,0,1227452,0,124,0.008360466388042435,71069,370185,2,57,0.007513765233976244,0,536710,0,46
2021-09-19 16:01:00,0.012497737289215157,315840,2234117,26,166,0.009167088243640365,163868,1114402,14,108,0.012439281101597525,977557,2040784,81,224,0.007137617524610817,2424803,1421360,192,114,0.007822280061970352,2290540,1837996,181,142
2021-09-19 16:00:00,0.033959156183355786,4495936,2456218,374,246,0.02618730094632961,4492260,3812706,373,341,0.033315590315532974,3834219,2939117,319,228,0.025219963141726965,2255901,1236033,178,90,0.023187936738713687,2324628,1828395,183,136
2021-09-19 15:59:00,0.014279885400259217,0,1208395,0,155,0.01348371557013858,0,1002539,0,106,0.015153033686567596,0,1107035,0,118,0.001286009499761557,0,0,0,0,0.01448655735152755,0,507812,0,40
2021-09-19 15:58:00,0.01194976964231292,0,1155269,0,145,0.008860547241969148,0,1422837,0,195,0.011986692071933192,0,1366957,0,185,0.0013040557521184345,0,2122,0,1,0.006985634631164572,0,522222,0,42
2021-09-19 15:57:00,0.012299465812052308,0,1217068,0,149,0.00891229310273142,0,1347929,0,173,0.012415018235595217,0,1255172,0,148,0.0013710491124439745,0,10461,0,2,0.007103454205043865,0,512090,0,41
2021-09-19 15:56:00,0.011969245175432755,0,1231147,0,157,0.008980459427147973,0,1253400,0,151,0.012349131234381142,0,1179474,0,141,0.001365660437951514,0,88528,0,7,0.0072067490064701666,0,566796,0,43
2021-09-19 15:55:00,0.011886907147965076,0,1315483,0,151,0.008950936179878966,0,1468272,0,184,0.012620779684837184,0,1475052,0,177,0.001527913860532711,0,75017,0,6,0.007164523299508119,0,588130,0,46
2021-09-19 15:54:00,0.011640732747484606,0,1206448,0,148,0.008722110556823282,0,1183169,0,142,0.011959295106341965,0,1183674,0,146,0.0013589987116593722,0,0,0,0,0.007155909855928636,0,520344,0,41
2021-09-19 15:53:00,0.012005538882431211,2689,1186362,0,149,0.008844446126277224,0,1171544,0,143,0.01119937381645665,0,1189012,0,151,0.0016121252336733485,0,86996,0,18,0.00723567388408218,0,591189,0,55
2021-09-19 15:52:00,0.012142717626563144,41766,1276132,1,162,0.009038768085410709,1874,1284560,0,161,0.011498596797924183,10818,1247220,0,151,0.0015118137363903845,27584,102159,1,20,0.00752674484095787,26427,618978,0,60
2021-09-19 15:51:00,0.012862948362449344,49753,1197597,1,145,0.00990422878283302,51374,1242231,1,148,0.012304933992579474,42430,1169418,1,140,0.0017668518957004646,25664,30350,0,4,0.00748064547024659,26821,569225,1,50
2021-09-19 15:50:00,0.012915815400633334,0,1275511,0,166,0.009177012013525143,0,1268249,0,166,0.011288991864249453,0,1297968,0,166,0.0014733871974603593,0,9871,0,2,0.007365456310459706,0,536941,0,43
2021-09-19 15:49:00,0.0156878334205255,0,1383361,0,148,0.010171077460656382,24355,1188456,1,132,0.013496716537852648,0,1681418,0,174,0.0016533378502922838,0,14853,0,3,0.007319296774760176,4066,548407,1,45
2021-09-19 15:48:00,0.6687329774314354,91937,46666809,3,486,0.2876719967708851,669455,3191943,19,198,0.4384889334417309,0,2697443,0,130,0.0015894804600120457,0,21725244,0,200,0.007618696599474361,4126,42131425,1,339
2021-09-19 15:47:00,0.9757210680547177,3281823,705465251,116,5188,0.8650081197837591,205743,70594265,5,624,0.938870087802655,886254,397268650,21,2819,0.1610254376192427,11186747,323000665,315,4339,0.3536008685938301,13024659,449846308,525,4755
2021-09-19 15:46:00,0.6315805495227516,48145005,1253136795,1533,8426,0.8478820132976297,16201897,1890989180,399,12819,0.8259540982291937,71152729,1629869064,1788,11051,0.7934469570224776,168490052,537484369,4384,6366,0.6389015370336908,163573708,638752698,4423,6800
